iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,8,0.026763759553432465
1000,-1.0,2.0,11,0.022332800552248955
1500,-1.0,2.0,8,0.012949894182384014
2000,-1.0,2.0,8,0.008380737155675888
2500,-0.88,2.12,8,0.011878383345901966
3000,-0.75,2.25,8,0.00437268428504467
3500,-0.67,2.0,9,0.0034138632472604513
4000,-0.11,2.11,9,0.004350936505943537
4500,0.12,2.12,8,0.0037996191531419754
5000,0.0,2.12,8,0.005513755138963461
5500,-0.22,2.11,9,0.0031430732924491167
6000,0.0,2.0,8,0.003327764570713043
6500,-0.12,2.0,8,0.004776687361299992
7000,0.0,2.0,8,0.0019655153155326843
7500,-0.12,2.0,8,0.001253498368896544
8000,0.0,2.0,8,0.0045451815240085125
8500,0.0,2.0,8,0.0007004290819168091
9000,0.25,2.25,8,0.0021508291829377413
9500,0.12,2.12,8,0.003178942948579788
10000,0.12,2.12,8,0.00030690469429828227
10500,0.38,2.38,8,0.0008391746669076383
11000,0.0,2.0,8,0.0023043309338390827
11500,0.25,2.25,8,0.002596937119960785
12000,0.25,2.25,8,0.000992883462458849
12500,0.25,2.25,8,0.001954383682459593
13000,0.38,2.5,8,0.003681586356833577
13500,0.38,2.5,8,0.0009037089766934514
14000,0.88,2.88,8,0.0012006707256659865
14500,1.67,4.25,12,0.0077613224275410175
15000,0.75,3.0,8,0.0036627687513828278
15500,0.38,2.62,8,0.004096182528883219
16000,1.44,3.89,9,0.002443784847855568
16500,1.67,3.89,9,0.0070460159331560135
17000,1.73,4.27,11,0.0033478643745183945
17500,2.12,4.75,8,0.004358296282589436
18000,1.8,4.2,10,0.00437313923612237
18500,3.5,6.5,8,0.00404311204329133
19000,3.25,6.25,8,0.003861305769532919
19500,3.12,6.12,8,0.010558066889643669
20000,3.5,6.5,8,0.007797196973115206
20500,2.88,5.88,8,0.006395832635462284
21000,4.62,7.62,8,0.006365735549479723
21500,4.62,7.62,8,0.013414238579571247
22000,5.62,8.62,8,0.0038974815979599953
22500,4.25,7.25,8,0.010995632968842983
23000,4.38,7.38,8,0.010585005395114422
23500,7.38,10.38,8,0.018889550119638443
24000,5.5,8.5,8,0.00945811066776514
24500,6.0,9.0,8,0.026051022112369537
25000,8.62,11.62,8,0.026255501434206963
25500,2.62,5.62,8,0.014938922598958015
26000,7.38,10.38,8,0.017496168613433838
26500,6.88,9.88,8,0.007131146267056465
27000,5.5,8.5,8,0.00904176663607359
27500,7.0,10.0,8,0.003314477624371648
28000,9.38,12.38,8,0.005989427212625742
28500,5.12,8.12,8,0.007445313967764378
29000,13.0,16.0,8,0.005533570423722267
29500,6.0,9.0,8,0.020636042580008507
30000,8.75,11.75,8,0.00893049594014883
30500,6.38,9.38,8,0.010074340738356113
31000,7.5,10.5,8,0.007720144931226969
31500,7.5,10.5,8,0.008250076323747635
32000,5.12,8.12,8,0.007011342328041792
32500,5.67,8.67,9,0.0057292841374874115
33000,5.38,8.38,8,0.006252841558307409
33500,9.75,12.75,8,0.019542399793863297
34000,7.0,10.0,8,0.017410410568118095
34500,7.75,10.75,8,0.021179571747779846
35000,11.89,14.89,9,0.004779249429702759
35500,9.0,12.0,8,0.023161113262176514
36000,8.0,11.0,9,0.021491393446922302
36500,10.5,13.5,8,0.007724105846136808
37000,14.12,17.12,8,0.005183098372071981
37500,6.38,9.38,8,0.03910933434963226
38000,7.5,10.5,8,0.0069139995612204075
38500,10.38,13.38,8,0.009617107920348644
39000,10.88,13.88,8,0.004086254630237818
39500,4.62,7.62,8,0.007018320728093386
40000,7.5,10.5,8,0.012343221344053745
40500,8.0,11.0,8,0.015690434724092484
41000,7.0,10.0,8,0.02447294257581234
41500,10.62,13.62,8,0.012167933396995068
42000,9.62,12.62,8,0.029280148446559906
42500,11.38,14.38,8,0.010013168677687645
43000,8.88,11.88,8,0.0069699883460998535
43500,11.38,14.38,8,0.005839585792273283
44000,14.38,17.38,8,0.005686826538294554
44500,7.5,10.5,8,0.007961765863001347
45000,10.5,13.5,8,0.01871422491967678
45500,8.12,11.12,8,0.01680156961083412
46000,10.62,13.62,8,0.012426271103322506
46500,13.0,16.0,8,0.006976362317800522
47000,12.25,15.25,8,0.007534099277108908
47500,13.0,16.0,8,0.01833980716764927
48000,13.38,16.38,8,0.006671581417322159
48500,10.62,13.62,8,0.007548186928033829
49000,15.0,18.0,8,0.00814772304147482
49500,11.38,14.38,8,0.009486477822065353
50000,9.62,12.62,8,0.00899114552885294
50500,13.62,16.62,8,0.007303820922970772
51000,14.62,17.62,8,0.021734775975346565
51500,6.62,9.62,8,0.009516836144030094
52000,10.12,13.12,8,0.0057626222260296345
